02 Oct 2015 16:13:17 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 16:13:17 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 18:58:44 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 18:58:44 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 18:58:44 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 18:58:44 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 18:59:25 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 18:59:25 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 18:59:25 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 18:59:25 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 18:59:31 | ABUNDANT |    archive |    DEBUG | Loaded archive config
02 Oct 2015 18:59:31 | ABUNDANT |    version |    DEBUG | Version record found: 7ad758eb-0aca-4247-88f8-fefdcbfa01a0
02 Oct 2015 18:59:31 | ABUNDANT |    version |    DEBUG | Version record found: 52be935a-1aa9-4d61-89c3-2d3baa7c4598
02 Oct 2015 18:59:31 | ABUNDANT |    version |    DEBUG | Version record found: 9102c944-932f-4769-ace0-4130b3b3f6a3
02 Oct 2015 18:59:31 | ABUNDANT |    version |    DEBUG | Version record found: 859b1c2b-ace7-44b9-8c03-7a0c230ae00f
02 Oct 2015 18:59:31 | ABUNDANT |    archive |    DEBUG | Found 4 versions
02 Oct 2015 19:02:25 | ABUNDANT |        log |    DEBUG | - - - - - - - - - - - - - -
02 Oct 2015 19:02:25 | ABUNDANT |        log |    DEBUG | Logger is ready
02 Oct 2015 19:02:25 | ABUNDANT |     config |     INFO | Loaded initialisation config
02 Oct 2015 19:02:25 | ABUNDANT |     config |     INFO | Loaded master config
02 Oct 2015 19:02:53 | ABUNDANT |    archive |    DEBUG | Loaded archive config
